单词,中文翻译
я,我
ты,你
он,他
она,她
оно,它
мы,我们
вы,您/你们
они,他们
кто,谁
что,什么
где,在哪里
когда,什么时候
почему,为什么
как,如何
чей,谁的
весь,全部
каждый,每个
сам,自己
этот,这个
тот,那个
быть,是/存在
есть,有/是
мочь,能够
хотеть,想要
идти,走/去
ехать,乘车去
знать,知道
думать,想/认为
говорить,说
сказать,说(完成体)
делать,做
работать,工作
жить,生活
любить,喜欢/爱
видеть,看见
смотреть,看
слышать,听到
слушать,听
понимать,理解
читать,读
писать,写
ждать,等待
брать,拿
давать,给
купить,买
пить,喝
есть,吃(动词)
спать,睡觉
играть,玩/比赛
идти,去
прийти,来到
уйти,离开
человек,人
люди,人们
друг,朋友
мужчина,男人
женщина,女人
ребёнок,孩子
отец,父亲
мать,母亲
сын,儿子
дочь,女儿
брат,兄弟
сестра,姐妹
семья,家庭
имя,名字
фамилия,姓
дом,房子/家
город,城市
улица,街道
страна,国家
мир,世界/和平
день,天/白天
ночь,夜晚
утро,早晨
вечер,晚上
время,时间
год,年
неделя,星期
час,小时
минута,分钟
сегодня,今天
вчера,昨天
завтра,明天
хороший,好的
плохой,坏的
большой,大的
маленький,小的
новый,新的
старый,旧的
молодой,年轻的
красивый,美丽的
умный,聪明的
быстрый,快的
медленный,慢的
дорогой,贵的/亲爱的
дешёвый,便宜的
белый,白色的
чёрный,黑色的
красный,红色的